time,root_pid,pid_family,cpu_percent,mem_percent,rss_kb,vsz_kb,threads,elapsed
2026-05-25 18:04:47,2870,"2870 2872",23.7,0.1,23716,35596,2,00:00
2026-05-25 18:04:48,2870,"2870 2872",7.9,0.1,23716,35596,2,00:01
2026-05-25 18:04:49,2870,"2870 2872",5.1,0.1,23716,35596,2,00:02
2026-05-25 18:04:51,2870,"2870 2872",4.7,0.2,49512,208696,4,00:03
2026-05-25 18:04:52,2870,"2870 2872",3.7,0.2,49512,208696,4,00:04
2026-05-25 18:04:53,2870,"2870 2872",3.0,0.2,49512,208696,4,00:05
2026-05-25 18:04:54,2870,"2870 2872",3.1,0.4,75116,234300,4,00:06
2026-05-25 18:04:55,2870,"2870 2872",2.7,0.4,75116,234300,4,00:07
2026-05-25 18:04:56,2870,"2870 2872",2.4,0.4,75116,234300,4,00:08
2026-05-25 18:04:57,2870,"2870 2872",2.7,0.5,100720,259904,4,00:09
2026-05-25 18:04:58,2870,"2870 2872",2.4,0.5,100720,259904,4,00:10
2026-05-25 18:04:59,2870,"2870 2872",2.2,0.5,100720,259904,4,00:11
2026-05-25 18:05:00,2870,"2870 2872",2.4,0.7,126324,285508,4,00:12
2026-05-25 18:05:01,2870,"2870 2872",2.2,0.7,126324,285508,4,00:13
2026-05-25 18:05:02,2870,"2870 2872",2.0,0.7,126324,285508,4,00:14
2026-05-25 18:05:03,2870,"2870 2872",2.2,0.9,151928,311112,4,00:15
2026-05-25 18:05:04,2870,"2870 2872",2.1,0.9,151928,311112,4,00:16
2026-05-25 18:05:05,2870,"2870 2872",1.9,0.9,151928,311112,4,00:17
2026-05-25 18:05:06,2870,"2870 2872",2.0,1.0,177532,336716,4,00:18
2026-05-25 18:05:07,2870,"2870 2872",1.9,1.0,177532,336716,4,00:19
2026-05-25 18:05:08,2870,"2870 2872",1.8,1.0,177532,336716,4,00:20
2026-05-25 18:05:09,2870,"2870 2872",2.0,1.2,203136,362320,4,00:21
2026-05-25 18:05:10,2870,"2870 2872",1.9,1.2,203136,362320,4,00:22
2026-05-25 18:05:11,2870,"2870 2872",1.7,1.2,203136,362320,4,00:23
2026-05-25 18:05:12,2870,"2870 2872",1.8,1.3,228740,387924,4,00:24
2026-05-25 18:05:13,2870,"2870 2872",1.8,1.3,228740,387924,4,00:25
2026-05-25 18:05:14,2870,"2870 2872",1.8,1.3,228740,387924,4,00:26
2026-05-25 18:05:15,2870,"2870 2872",1.8,1.5,254344,413528,4,00:27
2026-05-25 18:05:16,2870,"2870 2872",1.8,1.5,254344,413528,4,00:28
2026-05-25 18:05:17,2870,"2870 2872",1.7,1.5,254344,413528,4,00:29
2026-05-25 18:05:18,2870,"2870 2872",1.8,1.6,279948,439132,4,00:30
2026-05-25 18:05:19,2870,"2870 2872",1.7,1.6,279948,439132,4,00:31
2026-05-25 18:05:20,2870,"2870 2872",1.7,1.6,279948,439132,4,00:32
2026-05-25 18:05:21,2870,"2870 2872",1.8,1.8,305552,464736,4,00:33
2026-05-25 18:05:22,2870,"2870 2872",1.7,1.8,305552,464736,4,00:34
2026-05-25 18:05:23,2870,"2870 2872",1.6,1.8,305552,464736,4,00:35
2026-05-25 18:05:24,2870,"2870 2872",1.7,2.0,331156,490340,4,00:36
2026-05-25 18:05:25,2870,"2870 2872",1.7,2.0,331156,490340,4,00:38
2026-05-25 18:05:26,2870,"2870 2872",1.6,2.0,331156,490340,4,00:39
2026-05-25 18:05:27,2870,"2870 2872",1.6,2.1,356760,515944,4,00:40
2026-05-25 18:05:28,2870,"2870 2872",1.6,2.1,356760,515944,4,00:41
2026-05-25 18:05:29,2870,"2870 2872",1.6,2.1,356760,515944,4,00:42
2026-05-25 18:05:30,2870,"2870 2872",1.6,2.3,382364,541548,4,00:43
2026-05-25 18:05:31,2870,"2870 2872",1.6,2.3,382364,541548,4,00:44
2026-05-25 18:05:32,2870,"2870 2872",1.6,2.3,382364,541548,4,00:45
2026-05-25 18:05:33,2870,"2870 2872",1.6,2.4,407968,567152,4,00:46
2026-05-25 18:05:34,2870,"2870 2872",1.6,2.4,407968,567152,4,00:47
2026-05-25 18:05:35,2870,"2870 2872",1.6,2.4,407968,567152,4,00:48
2026-05-25 18:05:36,2870,"2870 2872",1.6,2.6,433572,592756,4,00:49
2026-05-25 18:05:37,2870,"2870 2872",1.6,2.6,433572,592756,4,00:50
2026-05-25 18:05:38,2870,"2870 2872",1.6,2.6,433572,592756,4,00:51
2026-05-25 18:05:39,2870,"2870 2872",1.6,2.7,459176,618360,4,00:52
2026-05-25 18:05:40,2870,"2870 2872",1.6,2.7,459176,618360,4,00:53
2026-05-25 18:05:41,2870,"2870 2872",1.6,2.7,459176,618360,4,00:54
2026-05-25 18:05:42,2870,"2870 2872",1.6,2.9,484780,643964,4,00:55
2026-05-25 18:05:43,2870,"2870 2872",1.6,2.9,484780,643964,4,00:56
2026-05-25 18:05:44,2870,"2870 2872",1.6,2.9,484780,643964,4,00:57
