Monitoring root PID=3116, case=cpu_spike, interval=1s
[2026-05-22 19:03:00] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116" CPU:80.0% MEM:0.0% RSS:2056KB VSZ:2900KB THR:1 ELAPSED:00:00
[2026-05-22 19:03:01] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:13.6% MEM:0.1% RSS:23820KB VSZ:35596KB THR:2 ELAPSED:00:00
[2026-05-22 19:03:02] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:6.8% MEM:0.1% RSS:23820KB VSZ:35596KB THR:2 ELAPSED:00:01
[2026-05-22 19:03:03] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:4.8% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:03
[2026-05-22 19:03:04] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:3.6% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:04
[2026-05-22 19:03:05] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:2.8% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:05
[2026-05-22 19:03:06] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:2.6% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:06
[2026-05-22 19:03:07] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:2.2% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:07
[2026-05-22 19:03:08] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.8% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:08
[2026-05-22 19:03:09] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.7% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:09
[2026-05-22 19:03:10] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.5% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:10
[2026-05-22 19:03:11] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.5% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:11
[2026-05-22 19:03:12] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.5% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:12
[2026-05-22 19:03:13] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.4% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:13
[2026-05-22 19:03:14] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.2% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:14
[2026-05-22 19:03:15] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.4% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:15
[2026-05-22 19:03:16] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.2% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:16
[2026-05-22 19:03:17] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.2% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:17
[2026-05-22 19:03:18] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.3% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:18
[2026-05-22 19:03:19] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.2% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:19
[2026-05-22 19:03:20] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.1% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:20
[2026-05-22 19:03:21] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.3% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:21
[2026-05-22 19:03:22] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.2% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:22
[2026-05-22 19:03:23] PROCESS:agent-app-leak ROOT_PID:3116 PID_FAMILY:"3116 3136" CPU:1.2% MEM:0.1% RSS:23868KB VSZ:35596KB THR:2 ELAPSED:00:23
