time,root_pid,pid_family,cpu_percent,mem_percent,rss_kb,vsz_kb,threads,elapsed
2026-05-25 19:40:32,2285,"2285",71.4,0.0,2060,2900,1,00:00
2026-05-25 19:40:33,2285,"2285 2305",15.3,0.1,23712,35596,2,00:00
2026-05-25 19:40:34,2285,"2285 2305",7.7,0.1,23712,35596,2,00:01
2026-05-25 19:40:35,2285,"2285 2305",5.2,0.1,23760,35596,2,00:03
2026-05-25 19:40:36,2285,"2285 2305",3.8,0.1,23760,35596,2,00:04
2026-05-25 19:40:37,2285,"2285 2305",3.0,0.1,23760,35596,2,00:05
2026-05-25 19:40:38,2285,"2285 2305",2.7,0.1,23760,35596,2,00:06
2026-05-25 19:40:39,2285,"2285 2305",2.2,0.1,23760,35596,2,00:07
2026-05-25 19:40:40,2285,"2285 2305",2.0,0.1,23760,35596,2,00:08
2026-05-25 19:40:41,2285,"2285 2305",2.1,0.1,23756,35596,2,00:09
2026-05-25 19:40:42,2285,"2285 2305",1.8,0.1,23756,35596,2,00:10
2026-05-25 19:40:43,2285,"2285 2305",1.6,0.1,23756,35596,2,00:11
2026-05-25 19:40:44,2285,"2285 2305",1.7,0.1,23756,35596,2,00:12
