time,root_pid,pid_family,cpu_percent,mem_percent,rss_kb,vsz_kb,threads,elapsed
2026-05-22 19:05:40,4975,"4975 4977",50.9,0.1,23804,35596,2,00:00
2026-05-22 19:05:42,4975,"4975 4977",5.2,0.1,23804,35596,2,00:02
2026-05-22 19:05:44,4975,"4975 4977",2.7,0.1,23804,35596,2,00:04
2026-05-22 19:05:46,4975,"4975 4977",1.9,0.1,23788,35596,2,00:06
2026-05-22 19:05:48,4975,"4975 4977",1.4,0.1,23864,183092,4,00:08
2026-05-22 19:05:50,4975,"4975 4977",1.1,0.1,23864,183092,4,00:10
2026-05-22 19:05:52,4975,"4975 4977",0.9,0.1,23864,183092,4,00:12
2026-05-22 19:05:54,4975,"4975 4977",0.8,0.1,23864,183092,4,00:14
2026-05-22 19:05:56,4975,"4975 4977",0.7,0.1,23864,183092,4,00:16
2026-05-22 19:05:58,4975,"4975 4977",0.6,0.1,23864,183092,4,00:18
2026-05-22 19:06:00,4975,"4975 4977",0.5,0.1,23864,183092,4,00:20
2026-05-22 19:06:02,4975,"4975 4977",0.5,0.1,23864,183092,4,00:22
2026-05-22 19:06:04,4975,"4975 4977",0.4,0.1,23864,183092,4,00:24
2026-05-22 19:06:06,4975,"4975 4977",0.4,0.1,23864,183092,4,00:26
2026-05-22 19:06:08,4975,"4975 4977",0.4,0.1,23864,183092,4,00:28
2026-05-22 19:06:10,4975,"4975 4977",0.3,0.1,23864,183092,4,00:30
2026-05-22 19:06:12,4975,"4975 4977",0.3,0.1,23864,183092,4,00:32
2026-05-22 19:06:14,4975,"4975 4977",0.3,0.1,23864,183092,4,00:34
2026-05-22 19:06:16,4975,"4975 4977",0.2,0.1,23864,183092,4,00:36
2026-05-22 19:06:18,4975,"4975 4977",0.2,0.1,23864,183092,4,00:38
2026-05-22 19:06:20,4975,"4975 4977",0.2,0.1,23864,183092,4,00:40
2026-05-22 19:06:22,4975,"4975 4977",0.2,0.1,23864,183092,4,00:42
2026-05-22 19:06:24,4975,"4975 4977",0.2,0.1,23864,183092,4,00:44
2026-05-22 19:06:26,4975,"4975 4977",0.2,0.1,23864,183092,4,00:46
2026-05-22 19:06:28,4975,"4975 4977",0.2,0.1,23864,183092,4,00:48
2026-05-22 19:06:30,4975,"4975 4977",0.2,0.1,23864,183092,4,00:50
2026-05-22 19:06:32,4975,"4975 4977",0.2,0.1,23792,183092,4,00:52
2026-05-22 19:06:34,4975,"4975 4977",0.2,0.1,23792,183092,4,00:54
